Symbol,Headquarters Location,Date first added,Founded
MMM,"St. Paul, Minnesota",,1902
ABT,"North Chicago, Illinois",3/31/1964,1888
ABBV,"North Chicago, Illinois",12/31/2012,2013 (1888)
ABMD,"Danvers, Massachusetts",5/31/2018,1981
ACN,"Dublin, Ireland",7/6/2011,1989
ATVI,"Santa Monica, California",8/31/2015,2008
ADBE,"San Jose, California",5/5/1997,1982
AMD,"Sunnyvale, California",3/20/2017,1969
AAP,"Raleigh, North Carolina",7/9/2015,1932
AES,"Arlington, Virginia",10/2/1998,1981
AMG,"West Palm Beach, Florida",7/1/2014,1993
AFL,"Columbus, Georgia",5/28/1999,1955
A,"Santa Clara, California",6/5/2000,1999
APD,"Allentown, Pennsylvania",4/30/1985,1940
AKAM,"Cambridge, Massachusetts",7/12/2007,1998
ALK,"Seattle, Washington",5/13/2016,1985
ALB,"Charlotte, North Carolina",7/1/2016,1994
ARE,"Pasadena, California",3/20/2017,1994
ALXN,"Boston, Massachusetts",5/25/2012,1992
ALGN,"San Jose, California",6/19/2017,1997
ALLE,"Dublin, Ireland",12/2/2013,1908
AGN,"Dublin, Ireland",4/12/1999,1983
ADS,"Plano, Texas",12/23/2013,1996
LNT,"Madison, Wisconsin",7/1/2016,1917
ALL,"Northfield Township, Illinois",7/13/1995,1931
GOOGL,"Mountain View, California",4/3/2014,1998
GOOG,"Mountain View, California",4/3/2006,1998
MO,"Richmond, Virginia",,1985
AMZN,"Seattle, Washington",11/18/2005,1994
AMCR,"Warmley, Bristol, United Kingdom",6/7/2019,
AEE,"St. Louis, Missouri",9/19/1991,1902
AAL,"Fort Worth, Texas",3/23/2015,1934
AEP,"Columbus, Ohio",,1906
AXP,"New York, New York",6/30/1976,1850
AIG,"New York, New York",3/31/1980,1919
AMT,"Boston, Massachusetts",11/19/2007,1995
AWK,"Voorhees, New Jersey",3/4/2016,1886
AMP,"Minneapolis, Minnesota",10/3/2005,1894
ABC,"Chesterbrook, Pennsylvania",8/30/2001,1985
AME,"Berwyn, Pennsylvania",9/23/2013,1930
AMGN,"Thousand Oaks, California",1/2/1992,1980
APH,"Wallingford, Connecticut",9/30/2008,1932
APC,"The Woodlands, Texas",7/28/1997,1959
ADI,"Norwood, Massachusetts",10/12/1999,1965
ANSS,"Canonsburg, Pennsylvania",6/19/2017,1969
ANTM,"Indianapolis, Indiana",7/25/2002,2014 (1940s)
AON,"London, United Kingdom",4/23/1996,1982 (1919)
AOS,"Milwaukee, Wisconsin",7/26/2017,1916
APA,"Houston, Texas",7/28/1997,1954
AIV,"Denver, Colorado",3/14/2003,1994 (1975)
AAPL,"Cupertino, California",11/30/1982,1977
AMAT,"Santa Clara, California",3/16/1995,1967
APTV,"Gillingham, Kent, United Kingdom",12/24/2012,1994
ADM,"Chicago, Illinois",7/29/1981,1902
ARNC,"New York, New York",3/31/1964,2016
ANET,"Santa Clara, California",8/28/2018,2004
AJG,"Itasca, Illinois",5/31/2016,
AIZ,"New York, New York",4/10/2007,
ATO,"Dallas, Texas",2/15/2019,1906
T,"Dallas, Texas",11/30/1983,1983
ADSK,"San Rafael, California",12/1/1989,
ADP,"Roseland, New Jersey",3/31/1981,
AZO,"Memphis, Tennessee",1/2/1997,
AVB,"Arlington, Virginia[3]",1/10/2007,
AVY,"Glendale, California",12/31/1987,
BHGE,"Houston, Texas",,2017
BLL,"Broomfield, Colorado",10/31/1984,
BAC,"Charlotte, North Carolina",6/30/1976,
BK,"New York, New York",3/31/1995,
BAX,"Deerfield, Illinois",9/30/1972,1931
BBT,"Winston-Salem, North Carolina",12/4/1997,
BDX,"Franklin Lakes, New Jersey",9/30/1972,1897
BRK.B,"Omaha, Nebraska",2/16/2010,
BBY,"Richfield, Minnesota",6/29/1999,
BIIB,"Cambridge, Massachusetts",11/13/2003,
BLK,"New York, New York",4/4/2011,
HRB,"Kansas City, Missouri",11/30/1986,
BA,"Chicago, Illinois",,1916
BKNG,"Norwalk, Connecticut",11/6/2009,
BWA,"Auburn Hills, Michigan",12/19/2011,
BXP,"Boston, Massachusetts",4/3/2006,
BSX,"Marlborough, Massachusetts[4]",2/24/1995,
BMY,"New York, New York",,1989
AVGO,"San Jose, California",5/8/2014,
BR,"Lake Success, New York",6/18/2018,1962
BF.B,"Louisville, Kentucky",10/31/1982,
CHRW,"Eden Prairie, Minnesota",3/2/2007,
COG,"Houston, Texas",6/23/2008,
CDNS,"San Jose, California",9/18/2017,
CPB,"Camden, New Jersey",,1869
COF,"Tysons Corner, Virginia",7/1/1998,1935
CPRI,"New York, New York",11/13/2013,
CAH,"Dublin, Ohio",5/27/1997,
KMX,"Richmond, Virginia",6/28/2010,
CCL,"Miami, Florida",12/22/1998,
CAT,"Deerfield, Illinois",,1925
CBOE,"Chicago, Illinois",3/1/2017,
CBRE,"Los Angeles, California",11/10/2006,
CBS,"New York, New York",9/1/1994,2006
CE,"Irving, Texas",12/24/2018,
CELG,"Summit, New Jersey",11/6/2006,
CNC,"St Louis, Missouri",3/30/2016,
CNP,"Houston, Texas",7/31/1985,
CTL,"Monroe, Louisiana",3/25/1999,
CERN,"North Kansas City, Missouri",4/30/2010,
CF,"Deerfield, Illinois",8/27/2008,
SCHW,"San Francisco, California",6/2/1997,
CHTR,"Stamford, Connecticut",9/8/2016,
CVX,"San Ramon, California",,1879
CMG,"Newport Beach, California",4/28/2011,
CB,"Zurich, Switzerland",7/15/2010,
CHD,"Ewing, New Jersey",12/29/2015,
CI,"Bloomfield, Connecticut",6/30/1976,
XEC,"Denver, Colorado",6/21/2014,
CINF,"Fairfield, Ohio",12/18/1997,
CTAS,"Mason, Ohio",3/1/2001,
CSCO,"San Jose, California",12/1/1993,
C,"New York, New York",5/31/1988,
CFG,"Providence, Rhode Island",1/29/2016,
CTXS,"Fort Lauderdale, Florida",12/1/1999,
CLX,"Oakland, California",3/31/1969,1913
CME,"Chicago, Illinois",8/11/2006,
CMS,"Jackson, Michigan",5/3/1999,
KO,"Atlanta, Georgia",,1886
CTSH,"Teaneck, New Jersey",11/17/2006,
CL,"New York, New York",,1806
CMCSA,"Philadelphia, Pennsylvania",9/18/2015,
CMA,"Dallas, Texas",12/1/1995,
CAG,"Chicago, Illinois",8/31/1983,
CXO,"Midland, Texas",2/22/2016,
COP,"Houston, Texas",,2002
ED,"New York, New York",,1823
STZ,"Victor, New York",7/1/2005,
COO,"Pleasanton, California",9/23/2016,
CPRT,"Dallas, Texas",7/2/2018,
GLW,"Corning, New York",,1851
CTVA,"Wilmington, Delaware",6/3/2019,2019
COST,"Issaquah, Washington",10/1/1993,
COTY,"New York, New York",10/3/2016,
CCI,"Houston, Texas",3/14/2012,
CSX,"Jacksonville, Florida",9/30/1967,1980
CMI,"Columbus, Indiana",3/31/1965,1919
CVS,"Woonsocket, Rhode Island",,1996
DHI,"Fort Worth, Texas",,1978
DHR,"Washington, D.C.",,1969
DRI,"Orlando, Florida",,1938
DVA,"Denver, Colorado",7/31/2008,
DE,"Moline, Illinois",,1837
DAL,"Atlanta, Georgia",9/11/2013,
XRAY,"York, Pennsylvania",11/14/2008,
DVN,"Oklahoma City, Oklahoma",8/30/2000,
FANG,"Midland, Texas",12/3/2018,2007
DLR,"San Francisco, California",5/18/2016,
DFS,"Riverwoods, Illinois",7/2/2007,
DISCA,"Silver Spring, Maryland",3/1/2010,
DISCK,"Silver Spring, Maryland",8/7/2014,
DISH,"Meridian, Colorado",3/13/2017,
DG,"Goodlettsville, Tennessee",12/3/2012,
DLTR,"Chesapeake, Virginia",12/19/2011,
D,"Richmond, Virginia",,1983
DOV,"Downers Grove, Illinois",10/31/1985,
DOW,"Midland, Michigan",4/1/2019,2019
DTE,"Detroit, Michigan",,1995
DUK,"Charlotte, North Carolina",6/30/1976,
DRE,"Indianapolis, Indiana",7/26/2017,
DD,"Midland, Michigan",,2017
DXC,"Tysons Corner, Virginia",4/4/2017,
ETFC,"New York, New York",3/31/2004,
EMN,"Kingsport, Tennessee",1/1/1994,
ETN,"Dublin, Ireland",,1911
EBAY,"San Jose, California",,1995
ECL,"St. Paul, Minnesota",1/31/1989,
EIX,"Rosemead, California",,1886
EW,"Irvine, California",4/1/2011,
EA,"Redwood City, California",7/22/2002,
EMR,"Ferguson, Missouri",3/31/1965,1890
ETR,"New Orleans, Louisiana",,1913
EOG,"Houston, Texas",11/2/2000,
EFX,"Atlanta, Georgia",6/19/1997,
EQIX,"Redwood City, California",3/20/2015,
EQR,"Chicago, Illinois",12/3/2001,
ESS,"Palo Alto, California",4/2/2014,
EL,"New York, New York",1/5/2006,
EVRG,"Kansas City, Missouri",6/5/2018,1909
ES,"Springfield, Massachusetts",,1966
RE,"Hamilton, Bermuda",6/19/2017,
EXC,"Chicago, Illinois",,2000
EXPE,"Bellevue, Washington",10/2/2007,
EXPD,"Seattle, Washington",10/10/2007,
EXR,"Salt Lake City, Utah",1/19/2016,
XOM,"Irving, Texas",,1999
FFIV,"Seattle, Washington",12/20/2010,1996
FB,"Menlo Park, California",12/23/2013,
FAST,"Winona, Minnesota",9/15/2009,
FRT,"Rockville, Maryland",2/1/2016,
FDX,"Memphis, Tennessee",12/31/1980,
FIS,"Jacksonville, Florida",11/10/2006,
FITB,"Cincinnati, Ohio",,1858
FE,"Akron, Ohio",,1997
FRC,"San Francisco, California",1/2/2019,1985
FISV,"Brookfield, Wisconsin",4/2/2001,
FLT,"Norcross, Georgia",6/20/2018,2000
FLIR,"Wilsonville, Oregon",1/2/2009,
FLS,"Irving, Texas",10/2/2008,
FMC,"Philadelphia, Pennsylvania",8/19/2009,
FL,"New York, New York",4/4/2016,
F,"Dearborn, Michigan",,1903
FTNT,"Sunnyvale, California",10/11/2018,2000
FTV,"Everett, Washington",7/1/2016,
FBHS,"Deerfield, Illinois",6/22/2016,
FOXA,"New York, New York",7/1/2013,
FOX,"New York, New York",9/18/2015,
BEN,"San Mateo, California",,1947
FCX,"Phoenix, Arizona",,1912
GPS,"San Francisco, California",8/31/1986,
GRMN,"Schaffhausen, Switzerland",12/12/2012,
IT,"Stamford, Connecticut",4/5/2017,
GD,"Falls Church, Virginia",,1899
GE,"Boston, Massachusetts",,1892
GIS,"Golden Valley, Minnesota",3/31/1969,1856
GM,"Detroit, Michigan",6/6/2013,
GPC,"Atlanta, Georgia",12/31/1973,1925
GILD,"Foster City, California",7/1/2004,
GPN,"Atlanta, Georgia",4/25/2016,
GS,"New York, New York",7/22/2002,
GWW,"Lake Forest, Illinois",6/30/1981,
HAL,"Houston, Texas",,1919
HBI,"Winston-Salem, North Carolina",3/20/2015,
HOG,"Milwaukee, Wisconsin",,1903
HIG,"Hartford, Connecticut",,
HAS,"Pawtucket, Rhode Island",9/30/1984,
HCA,"Nashville, Tennessee",1/27/2015,
HCP,"Long Beach, California",3/31/2008,
HP,"Tulsa, Oklahoma[5]",3/1/2010,
HSIC,"Melville, New York",3/17/2015,
HSY,"Hershey, Pennsylvania",,1894
HES,"New York, New York",5/31/1984,
HPE,"Palo Alto, California",11/2/2015,
HLT,"Tysons Corner, Virginia",6/19/2017,
HFC,"Dallas, Texas",6/18/2018,
HOLX,"Marlborough, Massachusetts",3/30/2016,
HD,"Atlanta, Georgia",3/31/1988,
HON,"Morristown, New Jersey",3/31/1964,1906
HRL,"Austin, Minnesota",3/4/2009,
HST,"Bethesda, Maryland",3/20/2007,
HPQ,"Palo Alto, California",12/31/1974,1939 (2015)
HUM,"Louisville, Kentucky",,1961
HBAN,"Columbus, Ohio",,1866
HII,"Newport News, Virginia",1/3/2018,
IDXX,"Westbrook, Maine",1/5/2017,
INFO,"London, United Kingdom",6/2/2017,
ITW,"Glenview, Illinois",2/28/1986,
ILMN,"San Diego, California",11/19/2015,
IR,"Dublin, Ireland",11/17/2010,
INTC,"Santa Clara, California",12/31/1976,
ICE,"Atlanta, Georgia",9/26/2007,
IBM,"Armonk, New York",,1911
INCY,"Wilmington, Delaware",2/28/2017,
IP,"Memphis, Tennessee",,1898
IPG,"New York, New York",10/1/1992,
IFF,"New York, New York",3/31/1976,
INTU,"Mountain View, California",12/5/2000,
ISRG,"Sunnyvale, California",6/2/2008,
IVZ,"Atlanta, Georgia",8/21/2008,
IPGP,"Oxford, Massachusetts",3/7/2018,
IQV,"Durham, North Carolina",8/29/2017,
IRM,"Boston, Massachusetts",1/6/2009,
JKHY,"Monett, Missouri",11/13/2018,
JEC,"Pasadena, California",10/26/2007,
JBHT,"Lowell, Arkansas",7/1/2015,
JEF,"New York, New York",8/27/2007,
SJM,"Orrville, Ohio",11/6/2008,
JNJ,"New Brunswick, New Jersey",6/30/1973,1886
JCI,"Cork, Ireland",8/27/2010,
JPM,"New York, New York",6/30/1975,
JNPR,"Sunnyvale, California",,1996
KSU,"Kansas City, Missouri",5/24/2013,
K,"Battle Creek, Michigan",,1906
KEY,"Cleveland, Ohio",3/1/1994,
KEYS,"Santa Rosa, California",11/6/2018,2014
KMB,"Irving, Texas",,1872
KIM,"New Hyde Park, New York",4/4/2006,
KMI,"Houston, Texas",5/25/2012,
KLAC,"Milpitas, California",,1975/1977 (1997)
KSS,"Menomonee Falls, Wisconsin",,1962
KHC,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/2015,
KR,"Cincinnati, Ohio",,1883
LB,"Columbus, Ohio",9/30/1983,
LHX,"Melbourne, Florida",,
LH,"Burlington, North Carolina",11/1/2004,
LRCX,"Fremont, California",6/29/2012,
LW,"Eagle, Idaho",12/3/2018,
LEG,"Carthage, Missouri",,1883
LEN,"Miami, Florida",10/4/2005,
LLY,"Indianapolis, Indiana",12/31/1970,1876
LNC,"Radnor, Pennsylvania",6/30/1976,
LIN,"Guildford, Surrey, United Kingdom",7/1/1992,
LKQ,"Chicago, Illinois",5/23/2016,
LMT,"Bethesda, Maryland",7/31/1984,
L,"New York, New York",,
LOW,"Mooresville, North Carolina",2/29/1984,1904/1946/1959
LYB,"Rotterdam, Netherlands",9/5/2012,
MTB,"Buffalo, New York",,1856
MAC,"Santa Monica, California",5/9/2013,
M,"Cincinnati, Ohio",,1929
MRO,"Houston, Texas",5/1/1991,
MPC,"Findlay, Ohio",7/1/2011,
MKTX,"New York, New York",7/1/2019,
MAR,"Bethesda, Maryland",,1927
MMC,"New York, New York",8/31/1987,
MLM,"Raleigh, North Carolina",7/2/2014,
MAS,"Taylor, Michigan",6/30/1981,
MA,"Harrison, New York",7/18/2008,
MKC,"Sparks, Maryland",,1889
MXIM,"San Jose, California",12/3/2018,1983
MCD,"Chicago, Illinois",6/30/1970,1940
MCK,"San Francisco, California",,1833
MDT,"Dublin, Ireland",10/31/1986,
MRK,"Whitehouse Station, New Jersey",,1891
MET,"New York, New York",,1868
MTD,"Columbus, Ohio",9/6/2016,
MGM,"Paradise, Nevada",7/26/2017,
MCHP,"Chandler, Arizona",9/7/2007,
MU,"Boise, Idaho",9/27/1994,
MSFT,"Redmond, Washington",6/1/1994,1975
MAA,"Memphis, Tennessee",12/2/2016,
MHK,"Amsterdam, New York",12/23/2013,
TAP,"Denver, Colorado",6/30/1976,
MDLZ,"Deerfield, Illinois",10/2/2012,
MNST,"Corona, California",6/28/2012,
MCO,"New York, New York",,1909
MS,"New York, New York",,1935
MOS,"Plymouth, Minnesota",9/26/2011,
MSI,"Schaumburg, Illinois",,1928 (2011)
MSCI,"New York, New York",4/4/2018,
MYL,"Amsterdam, Netherlands",4/23/2004,
NDAQ,"New York, New York",10/22/2008,
NOV,"Houston, Texas",3/14/2005,
NKTR,"San Francisco, California",3/19/2018,
NTAP,"Sunnyvale, California",6/25/1999,
NFLX,"Los Gatos, California",12/20/2010,1997
NWL,"Hoboken, New Jersey",4/30/1989,
NEM,"Denver, Colorado",6/30/1969,1921
NWSA,"New York, New York",8/1/2013,
NWS,"New York, New York",9/18/2015,
NEE,"Juno Beach, Florida",6/30/1976,
NLSN,"New York, New York",7/9/2013,
NKE,"Washington County, Oregon",11/30/1988,
NI,"Merrillville, Indiana",,1912
NBL,"Houston, Texas",10/8/2007,
JWN,"Seattle, Washington",8/31/1986,
NSC,"Norfolk, Virginia",,1881/1894 (1980)
NTRS,"Chicago, Illinois",,1889
NOC,"West Falls Church, Virginia",6/30/1985,
NCLH,"Miami, Florida",10/13/2017,
NRG,"Princeton, New Jersey",1/29/2010,
NUE,"Charlotte, North Carolina",4/30/1985,
NVDA,"Santa Clara, California",11/30/2001,
ORLY,"Springfield, Missouri",3/27/2009,
OXY,"Houston, Texas",12/31/1982,
OMC,"New York, New York",,1986
OKE,"Tulsa, Oklahoma",3/15/2010,
ORCL,"Redwood Shores, California",8/31/1989,
PCAR,"Bellevue, Washington",12/31/1980,
PKG,"Lake Forest, Illinois",7/26/2017,
PH,"Cleveland, Ohio",11/30/1985,
PAYX,"Penfield, New York",,1971
PYPL,"San Jose, California",7/20/2015,
PNR,"Worsley, UK",10/1/2012,
PBCT,"Bridgeport, Connecticut",11/13/2008,
PEP,"Purchase, New York",,1898
PKI,"Waltham, Massachusetts",5/31/1985,
PRGO,"Dublin, Ireland",12/19/2011,
PFE,"New York, New York",,1849
PM,"New York, New York",3/31/2008,
PSX,"Houston, Texas",5/1/2012,
PNW,"Phoenix, Arizona",,1985
PXD,"Irving, Texas",9/24/2008,
PNC,"Pittsburgh, Pennsylvania",4/30/1988,
PPG,"Pittsburgh, Pennsylvania",,1883
PPL,"Allentown, Pennsylvania",,
PFG,"Des Moines, Iowa",7/22/2002,
PG,"Cincinnati, Ohio",,1837
PGR,"Mayfield Village, Ohio",8/4/1997,
PLD,"San Francisco, California",7/17/2003,
PRU,"Newark, New Jersey",7/22/2002,
PEG,"Newark, New Jersey",,
PSA,"Glendale, California",8/19/2005,
PHM,"Atlanta, Georgia",4/30/1984,
PVH,"New York, New York",2/15/2013,
QRVO,"Greensboro, North Carolina",6/11/2015,
PWR,"Houston, Texas",7/1/2009,
QCOM,"San Diego, California",,1985
DGX,"Madison, New Jersey",12/12/2002,
RL,"New York, New York",2/2/2007,
RJF,"St. Petersburg, Florida",3/20/2017,
RTN,"Waltham, Massachusetts",,1922
O,"San Diego, California",4/7/2015,
REG,"Jacksonville, Florida",3/2/2017,
REGN,"Tarrytown, New York",5/1/2013,
RF,"Birmingham, Alabama",8/28/1998,
RSG,"Phoenix, Arizona",12/5/2008,
RMD,"San Diego, California",7/26/2017,
RHI,"Menlo Park, California",12/5/2000,
ROK,"Milwaukee, Wisconsin",,
ROL,"Atlanta, Georgia",10/1/2018,
ROP,"Sarasota, Florida",12/23/2009,
ROST,"Pleasanton, California",12/21/2009,
RCL,"Miami, Florida",12/5/2014,
CRM,"San Francisco, California",9/15/2008,
SBAC,"Boca Raton, Florida",9/1/2017,
SLB,"Curaçao, Kingdom of the Netherlands",3/31/1965,1926
STX,"Dublin, Ireland",7/2/2012,
SEE,"Elmwood Park, New Jersey",,
SRE,"San Diego, California",,
SHW,"Cleveland, Ohio",6/30/1964,1866
SPG,"Indianapolis, Indiana",6/26/2002,
SWKS,"Woburn, Massachusetts",3/12/2015,
SLG,"New York, New York",3/20/2015,
SNA,"Kenosha, Wisconsin",9/30/1982,1920
SO,"Atlanta, Georgia",,
LUV,"Dallas, Texas",7/1/1994,
SPGI,"New York, New York",,
SWK,"New Britain, Connecticut",9/30/1982,
SBUX,"Seattle, Washington",,1971
STT,"Boston, Massachusetts",,
SYK,"Kalamazoo, Michigan",12/12/2000,
STI,"Atlanta, Georgia",5/31/1988,
SIVB,"Santa Clara, California",3/19/2018,
SYMC,"Mountain View, California",3/25/2003,
SYF,"Stamford, Connecticut",11/18/2015,
SNPS,"Mountain View, California",3/16/2017,
SYY,"Houston, Texas",12/31/1986,
TMUS,"Bellevue, Washington",7/15/2019,
TROW,"Baltimore, Maryland",,1937
TTWO,"New York, New York",3/19/2018,
TPR,"New York, New York",,2017
TGT,"Minneapolis, Minnesota",12/31/1976,
TEL,"Schaffhausen, Switzerland",10/17/2011,
FTI,"London, United Kingdom",6/5/2009,
TFX,"Wayne, Pennsylvania",1/18/2019,1943
TXN,"Dallas, Texas",,1930
TXT,"Providence, Rhode Island",12/31/1978,
TMO,"Waltham, Massachusetts",,2006
TIF,"New York, New York",6/21/2000,
TWTR,"San Francisco, California",6/7/2018,
TJX,"Framingham, Massachusetts",9/30/1985,
TMK,"McKinney, Texas",4/30/1989,
TSS,"Columbus, Georgia",1/2/2008,
TSCO,"Brentwood, Tennessee",1/24/2014,
TDG,"Cleveland, Ohio",6/3/2016,
TRV,"New York, New York",8/21/2002,
TRIP,"Newton, Massachusetts",12/21/2011,
TSN,"Springdale, Arkansas",,
UDR,"Highlands Ranch, Colorado",3/7/2016,
ULTA,"Bolingbrook, Illinois",4/18/2016,
USB,"Minneapolis, Minnesota",,1968
UAA,"Baltimore, Maryland",3/25/2016,
UA,"Baltimore, Maryland",5/1/2014,
UNP,"Omaha, Nebraska",,
UAL,"Chicago, Illinois",9/3/2015,
UNH,"Minnetonka, Minnesota",7/1/1994,
UPS,"Atlanta, Georgia",7/22/2002,
URI,"Stamford, Connecticut",9/20/2014,
UTX,"Hartford, Connecticut",,
UHS,"King of Prussia, Pennsylvania",9/20/2014,
UNM,"Chattanooga, Tennessee",3/1/1994,
VFC,"Greensboro, North Carolina",6/30/1979,
VLO,"San Antonio, Texas",,1980
VAR,"Palo Alto, California",2/12/2007,
VTR,"Chicago, Illinois",3/4/2009,
VRSN,"Dulles, Virginia",2/1/2006,
VRSK,"Jersey City, New Jersey",10/8/2015,
VZ,"New York, New York",11/30/1983,
VRTX,"Cambridge, Massachusetts",9/23/2013,
VIAB,"New York, New York",,
V,"San Francisco, California",12/21/2009,
VNO,"New York, New York",,
VMC,"Birmingham, Alabama",6/30/1999,
WAB,"Wilmerding, Pennsylvania",2/27/2019,
WMT,"Bentonville, Arkansas",8/31/1982,
WBA,"Deerfield, Illinois",12/31/1979,
DIS,"Burbank, California",6/30/1976,
WM,"Houston, Texas",,1968
WAT,"Milford, Massachusetts",,1958
WEC,"Milwaukee, Wisconsin",10/31/2008,
WCG,"Tampa, Florida",1985,
WFC,"San Francisco, California",6/30/1976,
WELL,"Toledo, Ohio",1/30/2009,
WDC,"Irvine, California",7/1/2009,
WU,"Englewood, Colorado",,1851
WRK,"Richmond, Virginia",,
WY,"Federal Way, Washington",,
WHR,"Benton Harbor, Michigan",,1911
WMB,"Tulsa, Oklahoma",3/31/1975,
WLTW,"London, United Kingdom",1/5/2016,
WYNN,"Paradise, Nevada",11/14/2008,
XEL,"Minneapolis, Minnesota",,1909
XRX,"Norwalk, Connecticut",,1906
XLNX,"San Jose, California",11/8/1999,
XYL,"White Plains, New York",11/1/2011,
YUM,"Louisville, Kentucky",10/6/1997,
ZBH,"Warsaw, Indiana",8/7/2001,
ZION,"Salt Lake City, Utah",6/22/2001,
ZTS,"Florham Park, New Jersey",6/21/2013,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
